Date,Price Open,Last Price
9/12/25,#N/A N/A,3524.83
9/11/25,#N/A N/A,3529.91
9/10/25,#N/A N/A,3519.99
9/9/25,#N/A N/A,3510.06
9/8/25,#N/A N/A,3517.06
9/5/25,#N/A N/A,3504.22
9/4/25,#N/A N/A,3485.14
9/3/25,#N/A N/A,3468.58
9/2/25,#N/A N/A,3453.35
9/1/25,#N/A N/A,3463.74
8/29/25,#N/A N/A,3463.74
8/28/25,#N/A N/A,3472.47
8/27/25,#N/A N/A,3466.54
8/26/25,#N/A N/A,3465.13
8/25/25,#N/A N/A,3463.85
8/22/25,#N/A N/A,3466.65
8/21/25,#N/A N/A,3448.31
8/20/25,#N/A N/A,3457.2
8/19/25,#N/A N/A,3456.48
8/18/25,#N/A N/A,3451.25
8/15/25,#N/A N/A,3454.16
8/14/25,#N/A N/A,3457.68
8/13/25,#N/A N/A,3467.28
8/12/25,#N/A N/A,3451.55
8/11/25,#N/A N/A,3450.85
8/8/25,#N/A N/A,3447.7
8/7/25,#N/A N/A,3456.07
8/6/25,#N/A N/A,3457.12
8/5/25,#N/A N/A,3458.69
8/4/25,#N/A N/A,3457.08
8/1/25,#N/A N/A,3451.69
7/31/25,#N/A N/A,3429
7/30/25,#N/A N/A,3426.85
7/29/25,#N/A N/A,3435.7
7/28/25,#N/A N/A,3417.49
7/25/25,#N/A N/A,3422.91
7/24/25,#N/A N/A,3414.28
7/23/25,#N/A N/A,3416.4
7/22/25,#N/A N/A,3421.75
7/21/25,#N/A N/A,3416.01
7/18/25,#N/A N/A,3403.88
7/17/25,#N/A N/A,3398.39
7/16/25,#N/A N/A,3396.71
7/15/25,#N/A N/A,3389.94
7/14/25,#N/A N/A,3398.23
7/11/25,#N/A N/A,3398.47
7/10/25,#N/A N/A,3415.36
7/9/25,#N/A N/A,3413.81
7/8/25,#N/A N/A,3401.48
7/7/25,#N/A N/A,3406.58
7/4/25,#N/A N/A,3419.67
7/3/25,#N/A N/A,3419.67
7/2/25,#N/A N/A,3426.18
7/1/25,#N/A N/A,3428.74
6/30/25,#N/A N/A,3426.76
6/27/25,#N/A N/A,3410.5
6/26/25,#N/A N/A,3416.28
6/25/25,#N/A N/A,3408.06
6/24/25,#N/A N/A,3408.86
6/23/25,#N/A N/A,3394.69
6/20/25,#N/A N/A,3387.72
6/19/25,#N/A N/A,3385.5
6/18/25,#N/A N/A,3385.5
6/17/25,#N/A N/A,3384.55
6/16/25,#N/A N/A,3373.01
6/13/25,#N/A N/A,3378.19
6/12/25,#N/A N/A,3392.93
6/11/25,#N/A N/A,3378.48
6/10/25,#N/A N/A,3368.55
6/9/25,#N/A N/A,3362.72
6/6/25,#N/A N/A,3356.19
6/5/25,#N/A N/A,3372.82
6/4/25,#N/A N/A,3379.99
6/3/25,#N/A N/A,3358.57
6/2/25,#N/A N/A,3355.13
5/30/25,#N/A N/A,3363.9
5/29/25,#N/A N/A,3357.79
5/28/25,#N/A N/A,3344.65
5/27/25,#N/A N/A,3350.98
5/26/25,#N/A N/A,3326.93
5/23/25,#N/A N/A,3326.93
5/22/25,#N/A N/A,3325.29
5/21/25,#N/A N/A,3316.6
5/20/25,#N/A N/A,3341.4
5/19/25,#N/A N/A,3345.04
5/16/25,#N/A N/A,3344.16
5/15/25,#N/A N/A,3339.9
