date,price
8/29/2025,79.39
7/31/2025,79.84
6/30/2025,90.26
5/31/2025,92.11
4/30/2025,112.48
3/31/2025,101.35
2/28/2025,104.46
1/31/2025,91.76
12/31/2024,98.8
11/30/2024,95.22
10/31/2024,135.18
9/30/2024,94.61
8/31/2024,107.77
7/31/2024,99.41
6/30/2024,98.59
5/31/2024,91.14
4/30/2024,107.46
3/31/2024,86.38
2/29/2024,109.1
1/31/2024,107.28
12/31/2023,114.62
11/30/2023,115.32
10/31/2023,126.86
9/30/2023,113.55
8/31/2023,107.93
7/31/2023,112.03
6/30/2023,110.64
5/31/2023,136.02
4/30/2023,122.46
3/31/2023,135.93
2/28/2023,123.6
1/31/2023,99.54
12/31/2022,121.61
11/30/2022,127.27
10/31/2022,147.92
9/30/2022,141.89
8/31/2022,124.84
7/31/2022,116.36
6/30/2022,135.5
5/31/2022,107.12
4/30/2022,128.4
3/31/2022,106.88
2/28/2022,100.4
1/31/2022,85.14
12/31/2021,77.1
11/30/2021,84.04
10/31/2021,75.45
9/30/2021,61.07
8/31/2021,59.54
7/31/2021,61.19
6/30/2021,57.27
5/31/2021,52.04
4/30/2021,58.13
3/31/2021,71.27
2/28/2021,75.66
1/31/2021,47.41
12/31/2020,48.98
11/30/2020,40.84
10/31/2020,61.91
9/30/2020,39.21
8/31/2020,47.02
7/31/2020,41.98
6/30/2020,54.13
5/31/2020,51.55
4/30/2020,53.59
3/31/2020,83.87
2/29/2020,109.67
1/31/2020,72.98
12/31/2019,58.28
11/30/2019,56.57
10/31/2019,65.88
9/30/2019,77.2005
8/31/2019,86.8897
7/31/2019,55.2468
6/30/2019,70.4339
5/31/2019,72.681
4/30/2019,49.4711
3/31/2019,58.5478
2/28/2019,47.2183
1/31/2019,49.8117
12/31/2018,66.5828
11/30/2018,52.4322
10/31/2018,60.1285
9/30/2018,46.1634
8/31/2018,50.7097
7/31/2018,46.5038
6/30/2018,51.1681
5/31/2018,60.5438
4/30/2018,50.3548
3/31/2018,58.5414
2/28/2018,62.9735
1/31/2018,57.1957
12/31/2017,46.5962
11/30/2017,46.8271
10/31/2017,51.1485
9/30/2017,52.8752
8/31/2017,51.1311
7/31/2017,48.1375
6/30/2017,55.2201
5/31/2017,53.9509
4/30/2017,60.1925
3/31/2017,60.6987
2/28/2017,71.2937
1/31/2017,72.5153
12/31/2016,71.6297
11/30/2016,80.9553
10/31/2016,65.465
9/30/2016,60.556
8/31/2016,69.0806
7/31/2016,64.1468
6/30/2016,72.6386
5/31/2016,67.9149
4/30/2016,64.921
3/31/2016,68.8027
2/29/2016,83.3856
1/31/2016,74.0039
12/31/2015,67.8473
11/30/2015,69.8952
10/31/2015,73.0792
9/30/2015,81.565
8/31/2015,87.7352
7/31/2015,75.7512
6/30/2015,92.2575
5/31/2015,82.6996
4/30/2015,75.292
3/31/2015,86.1017
2/28/2015,91.3865
1/31/2015,88.2724
12/31/2014,68.9385
11/30/2014,66.5733
10/31/2014,68.691
9/30/2014,64.2055
8/31/2014,60.4894
7/31/2014,56.4578
6/30/2014,52.7366
5/31/2014,58.295
4/30/2014,58.8846
3/31/2014,61.815
2/28/2014,57.6628
1/31/2014,64.725
12/31/2013,73.546
11/30/2013,67.965
10/31/2013,61.6804
9/30/2013,80.1572
8/31/2013,103.5277
7/31/2013,82.5984
6/30/2013,99.7542
5/31/2013,79.9852
4/30/2013,49.2418
3/31/2013,57.3202
2/28/2013,55.9
1/31/2013,65.6
12/31/2012,59.4
11/30/2012,51.8
